190095,Abbevillecity
190100,Adamsvillecity
190110,Addisontown
190113,Akrontown
190116,Alabastercity
190130,Albertvillecity
190138,AlexanderCitycity
190145,AlexandriaCDP
190148,Alicevillecity
190151,Allgoodtown
190155,Altoonatown
190160,Andalusiacity
190167,Andersontown
190170,Annistoncity
190188,Arabcity
190194,Ardmoretown
190197,Argotown
190205,Aritontown
190208,Arleytown
190211,Ashfordcity
190214,Ashlandcity
190218,Ashvilletown
190222,Athenscity
190236,Atmorecity
190241,Attallacity
190247,Auburncity
190262,Autaugavilletown
190265,Avontown
190268,Babbietown
190271,Baileytontown
190274,Bankstown
190277,BayMinettecity
190284,BayouLaBatrecity
190288,BearCreektown
190292,Beatricetown
190295,Beavertontown
190298,Belktown
190301,Bentontown
190304,Berrytown
190307,Bessemercity
190329,Billingsleytown
190332,Birminghamcity
190433,Blacktown
190436,Blountsvilletown
190440,BlueMountaintown
190445,BlueRidgeCDP
190448,BlueSpringstown
190451,Boazcity
190459,Boligeetown
190462,BonAirtown
190466,Branchvilletown
190471,Brantleytown
190475,Brentcity
190478,Brewtoncity
190484,Bridgeportcity
190487,Brightoncity
190494,Brillianttown
190498,Brooksidetown
190502,Brookwoodtown
190507,Brundidgecity
190510,Butlercity
190513,BynumCDP
190516,CahabaHeightsCDP
190521,Caleracity
190529,Camdentown
190532,CampHilltown
190535,CarbonHillcity
190540,Cardifftown
190543,Carolinatown
190546,Carrolltontown
190549,Castleberrytown
190552,CedarBlufftown
190555,CenterPointCDP
190567,Centrecity
190571,Centrevillecity
190575,ChalkvilleCDP
190579,Chatomtown
190582,Chelseatown
190589,Cherokeetown
190592,Chickasawcity
190601,Childersburgcity
190608,Citronellecity
190612,Clantoncity
190618,ClayCDP
190622,Clayhatcheetown
190625,Claytontown
190628,Clevelandtown
190632,Cliotown
190635,Coalingcity
190638,CoffeeSpringstown
190641,Coffeevilletown
190644,Cokertown
190648,Collinsvilletown
190653,Colonytown
190656,Columbiatown
190659,Columbianacity
190663,ConcordCDP
190666,Coosadatown
190671,Cordovacity
190674,Cottonwoodtown
190677,CountyLinetown
190682,Courtlandtown
190685,Cowartstown
190690,Creolatown
190694,Crossvilletown
190697,Cubatown
190701,Cullmancity
190710,Dadevillecity
190715,Dalevillecity
190721,Daphnecity
190728,DauphinIslandtown
190732,Davistontown
190735,Daytontown
190738,Deatsvilletown
190742,Decaturcity
190764,Demopoliscity
190768,Detroittown
190771,DodgeCitytown
190775,Doracity
190779,Dothancity
190805,DoubleSpringstown
190808,Douglastown
190811,Doziertown
