19766,Abbevillecity_al,-85.25130058,31.566367
19771,Adamsvillecity_al,-86.94916658,33.590411
19781,Addisontown_al,-87.1778516,34.200042
19784,Akrontown_al,-87.7409786,32.876425
19787,Alabastercity_al,-86.82382958,33.231162
19801,Albertvillecity_al,-86.21126158,34.265362
19809,AlexanderCitycity_al,-85.93600858,32.933157
19816,AlexandriaCDP_al,-85.88438957,33.766072
19819,Alicevillecity_al,-88.15442758,33.126276
19822,Allgoodtown_al,-86.5164286,33.904216
19826,Altoonatown_al,-86.3206876,34.029259
19831,Andalusiacity_al,-86.47946858,31.309321
19838,Andersontown_al,-87.2703586,34.920029
19841,Annistoncity_al,-85.82666458,33.663003
19859,Arabcity_al,-86.49861358,34.327863
19865,Ardmoretown_al,-86.8432286,34.987052
19868,Argotown_al,-86.5123576,33.70021
19876,Aritontown_al,-85.7187616,31.598204
19879,Arleytown_al,-87.2107686,34.081499
19882,Ashfordcity_al,-85.23528658,31.184032
19885,Ashlandcity_al,-85.83692558,33.272206
19889,Ashvilletown_al,-86.2662746,33.843737
19893,Athenscity_al,-86.96942458,34.789602
19907,Atmorecity_al,-87.49206758,31.023183
19912,Attallacity_al,-86.09841358,34.009818
19918,Auburncity_al,-85.48082358,32.597684
19933,Autaugavilletown_al,-86.6533706,32.43241
19936,Avontown_al,-85.2791566,31.189409
19939,Babbietown_al,-86.3192936,31.30046
19942,Baileytontown_al,-86.6030186,34.267139
19945,Bankstown_al,-85.8402816,31.813464
19948,BayMinettecity_al,-87.77718358,30.883446
19955,BayouLaBatrecity_al,-88.24811758,30.403253
19959,BearCreektown_al,-87.7033746,34.2724
19963,Beatricetown_al,-87.2067736,31.733178
19966,Beavertontown_al,-88.0203746,33.932813
19969,Belktown_al,-87.9309346,33.645856
19972,Bentontown_al,-86.8175516,32.306248
19975,Berrytown_al,-87.6060846,33.657836
19978,Bessemercity_al,-86.95656958,33.391343
20000,Billingsleytown_al,-86.7112476,32.660416
20003,Birminghamcity_al,-86.81274058,33.524755
20104,Blacktown_al,-85.7443656,31.011112
20107,Blountsvilletown_al,-86.5887786,34.081911
20111,BlueMountaintown_al,-85.8375776,33.688619
20116,BlueRidgeCDP_al,-86.19082357,32.486744
20119,BlueSpringstown_al,-85.4959196,31.66433
20122,Boazcity_al,-86.16045758,34.202793
20130,Boligeetown_al,-88.0259686,32.763768
20133,BonAirtown_al,-86.3336506,33.263798
20137,Branchvilletown_al,-86.4368956,33.648029
20142,Brantleytown_al,-86.2566516,31.584365
20146,Brentcity_al,-87.17498258,32.94024
20149,Brewtoncity_al,-87.07116458,31.117706
20155,Bridgeportcity_al,-85.71896658,34.947303
20158,Brightoncity_al,-86.94544258,33.438958
20165,Brillianttown_al,-87.7673726,34.022764
20169,Brooksidetown_al,-86.9130686,33.631867
20173,Brookwoodtown_al,-87.3197466,33.23911
20178,Brundidgecity_al,-85.81811958,31.719218
20181,Butlercity_al,-88.22068458,32.091526
20184,BynumCDP_al,-85.96330857,33.605985
20187,CahabaHeightsCDP_al,-86.73208657,33.459256
20192,Caleracity_al,-86.74996458,33.107572
20200,Camdentown_al,-87.2957436,31.998851
20203,CampHilltown_al,-85.6529026,32.799285
20206,CarbonHillcity_al,-87.52430758,33.89069
