place,lat,lon,population,foreign,native,hh_income,pct_english,pct_asian_lang,pct_spanish,pct_euro,pct_asian,pct_white,pct_black,pct_other,pct_hispanic,pct_full_time,pct_no_work,pct_part_time,pct_urban,less_than_hs,less_bachelors,doctorate
NacoCDP_AZ,31.3373,-109.9445,833.0,0.3162,0.6838,22045.0,0.1894,0.0,0.803,0.0076,0.0,0.5282,0.0024,0.0,0.8247,0.7589,0.1839,0.1107,0.0,0.4072,0.403,0.0
NantucketCDP_MA,41.2815,-70.1004,3830.0,0.0834,0.9166,52893.0,0.8534,0.0087,0.0498,0.0827,0.0091,0.8261,0.1232,0.0054,0.0175,0.8937,0.0725,0.0664,0.0,missing,missing,missing
Napaskiakcity_AK,60.7069,-161.761,390.0,0.0,1.0,31806.0,0.043,0.0,0.0,0.0215,0.0026,0.0154,0.0,0.9355,0.0026,0.6882,0.2091,0.1597,0.0,missing,missing,missing
NapierFieldtown_AL,31.3153,-85.4543,404.0,0.028,0.972,missing,0.9399,0.0109,0.0492,0.0,0.0,0.854,0.1139,0.0,0.0272,0.8715,0.0909,0.0721,0.0,missing,missing,missing
Naplatevillage_IL,41.3313,-88.8789,523.0,0.0323,0.9677,31083.0,0.914,0.0136,0.0498,0.0136,0.0038,0.9771,0.0,0.009,0.0191,0.8061,0.182,0.026,0.0,missing,missing,missing
Naplescity_UT,40.4327,-109.4984,1300.0,0.0037,0.9963,43158.0,0.9777,0.0,0.0099,0.0124,0.0,0.9846,0.0,0.0,0.0285,0.8492,0.086,0.0994,0.0,0.1393,0.6421,0.0
Naplesvillage_NY,42.616,-77.4026,1072.0,0.0307,0.9693,34219.0,0.9306,0.0,0.0152,0.0542,0.0056,0.986,0.0,0.0,0.0121,0.872,0.1014,0.0435,0.0,missing,missing,missing
Napoleoncity_MO,39.1298,-94.0721,208.0,0.0,1.0,missing,0.9213,0.0,0.0787,0.0,0.0048,0.9471,0.0192,0.0,0.0,0.8,0.1158,0.0947,0.0,missing,missing,missing
NaranjaCDP_FL,25.5174,-80.4217,4034.0,0.2329,0.7671,18825.0,0.6133,0.0345,0.2906,0.0616,0.0139,0.3299,0.5754,0.0,0.2697,0.7855,0.1852,0.0672,0.0,0.4051,0.4552,0.0044
NarcissaCDP_OK,36.8,-94.9293,100.0,0.0213,0.9787,31500.0,1.0,0.0,0.0,0.0,0.02,0.84,0.0,0.0,0.01,0.8219,0.1781,0.0,0.0,missing,missing,missing
