"place,population,foreign,native,hh_income,pct_english,pct_asian_lang,pct_spanish,pct_euro,pct_asian,pct_white,pct_black,pct_other,pct_hispanic,pct_full_time,pct_no_work,pct_part_time,pct_urban"
"Babbietown_al,"	"627.0,0.0,1.0,missing,0.9849,0.0,0.0,0.0151,0.0032,0.9888,0.0016,0.0,0.0,0.5304,0.3826,0.087,0.0"
"Baileytontown_al,"	"684.0,0.0029,0.9971,31000.0,0.9783,0.0109,0.0109,0.0,0.0015,0.9956,0.0,0.0,0.0,0.5513,0.3308,0.118,0.0"
"Bankstown_al,"	"224.0,0.0,1.0,missing,0.945,0.0,0.0275,0.0275,0.0,0.8482,0.1027,0.0,0.0089,0.4574,0.4255,0.117,0.0"
"BayMinettecity_al,"	"7820.0,0.0095,0.9905,27226.0,0.9527,0.0077,0.0264,0.0132,0.0043,0.6432,0.3347,0.0,0.0102,0.5012,0.4003,0.0984,0.0"
"BayouLaBatrecity_al,"	"2313.0,0.1682,0.8318,24539.0,0.7325,0.2095,0.0277,0.0303,0.3329,0.5244,0.1025,0.0,0.019,0.4461,0.4133,0.1405,0.0"
"BearCreektown_al,"	"1053.0,0.0038,0.9962,27813.0,0.9742,0.0,0.0188,0.0,0.0,0.9915,0.0009,0.007,0.0009,0.5542,0.3602,0.0855,0.0"
"Beatricetown_al,"	"412.0,0.0,1.0,missing,0.9384,0.0,0.0479,0.0137,0.0,0.2694,0.7257,0.0,0.0049,0.2692,0.641,0.0897,0.0"
"Beavertontown_al,"	"226.0,0.036,0.964,20250.0,0.9684,0.0,0.0316,0.0,0.0,0.9558,0.031,0.0,0.0,0.4176,0.478,0.1044,0.0"
"Belktown_al,"	"214.0,0.0,1.0,32188.0,1.0,0.0,0.0,0.0,0.0,0.972,0.0093,0.0,0.014,0.6292,0.2921,0.0787,0.0"
"Bentontown_al,"	"47.0,0.0,1.0,missing,1.0,0.0,0.0,0.0,0.0,0.766,0.234,0.0,0.0,0.6538,0.2692,0.0769,0.0"
"Berrytown_al,"	"1238.0,0.0016,0.9984,20214.0,0.9903,0.0,0.0058,0.0039,0.0,0.9144,0.0638,0.0,0.017,0.465,0.4607,0.0743,0.0"
"Bessemercity_al,"	"29672.0,0.0089,0.9911,23066.0,0.963,0.0012,0.0179,0.0148,0.0018,0.2893,0.6955,0.0031,0.0114,0.4344,0.4538,0.1118,0.0"
"Billingsleytown_al,"	"116.0,0.0,1.0,missing,1.0,0.0,0.0,0.0,0.0,0.9052,0.0603,0.0,0.0,0.5699,0.3656,0.0645,0.0"
"Birminghamcity_al,"	"242820.0,0.0211,0.9789,26735.0,0.9304,0.0072,0.0384,0.0191,0.008,0.2407,0.7346,0.0049,0.0155,0.5094,0.3696,0.121,0.0"
"Blacktown_al,"	"202.0,0.0,1.0,missing,0.9634,0.0,0.0,0.0366,0.0,0.9406,0.0545,0.0,0.0,0.5843,0.3373,0.0783,0.0"
"Blountsvilletown_al,"	"1768.0,0.0961,0.9039,24432.0,0.8698,0.0,0.1181,0.0121,0.0028,0.8954,0.0,0.0,0.1618,0.5102,0.3868,0.103,0.0"
"BlueMountaintown_al,"	"233.0,0.1168,0.8832,missing,0.898,0.0,0.0816,0.0204,0.0086,0.7682,0.1459,0.0,0.0601,0.436,0.5,0.064,0.0"
"BlueRidgeCDP_al,"	"1331.0,0.0109,0.9891,missing,0.9379,0.0,0.0393,0.0228,0.003,0.9579,0.0308,0.0,0.0053,0.5665,0.2457,0.1879,0.0"
"BlueSpringstown_al,"	"121.0,0.0,1.0,missing,1.0,0.0,0.0,0.0,0.0,0.9917,0.0083,0.0,0.0,0.7297,0.1757,0.0946,0.0"
"Boazcity_al,"	"7411.0,0.0403,0.9597,25699.0,0.9322,0.004,0.0543,0.0071,0.0045,0.935,0.0131,0.0025,0.0498,0.4632,0.4326,0.1041,0.0"
"Boligeetown_al,"	"369.0,0.0,1.0,15000.0,1.0,0.0,0.0,0.0,0.0,0.1057,0.8889,0.0,0.019,0.3241,0.4901,0.1858,0.0"
"BonAirtown_al,"	"96.0,0.0161,0.9839,missing,0.8649,0.0,0.0811,0.0541,0.0,0.9375,0.0625,0.0,0.0,0.3727,0.4636,0.1636,0.0"
"Branchvilletown_al,"	"825.0,0.0036,0.9964,40438.0,0.9621,0.0,0.0175,0.0204,0.0,0.9709,0.0036,0.0,0.0194,0.5307,0.3598,0.1094,0.0"
